OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_citation,_latitude,_longitude,_napa_photo_exists,_observed_feature,_orig_lat,_orig_lon,Net_Slip_Preffered_cm
743,49.0,Tectonic,Source: Napa 2014; Fault rupture through road. Apparent 2-3 cm right-lateral offset.,,RL,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Lancaster/Pridmore,,,,,,,,,,,,,,,,,,38.23428344,-122.3164058,N,Pavement,38.234272,-122.3164215,2-3*
576,50.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.23428946,-122.316465,Y,Pavement,38.23437881,-122.3164902,
587,51.0,Tectonic,"Source: Napa 2014; 7 cm right-lateral oriented 201 degrees. North side of Las Amigas Road. Asphalt sinking, looks like more after slip.",,RL,,,201,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.23428946,-122.316465,Y,Pavement,38.23431396,-122.3165054,7*
539,52.0,Tectonic,Source: Napa 2014; Las Amigas Road.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Zaccone,,,,,,,,,,,,,,,,,,38.23428946,-122.316465,Y,Pavement,38.23419952,-122.3166656,
1850,53.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.24163588,-122.3199771,Y,Soil,38.24162674,-122.3199615,
1918,54.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.24163588,-122.3199771,Y,Soil,38.24162674,-122.3199615,
536,55.0,Tectonic,"Source: Napa 2014; Vineyard, South Ave.",,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Zaccone,,,,,,,,,,,,,,,,,,38.24163588,-122.3199771,Y,Soil,38.24169922,-122.3200836,
2126,56.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.24174166,-122.3200279,Y,Soil,38.24173355,-122.320015,
2157,57.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.24174617,-122.3200435,Y,Soil,38.24174118,-122.3200302,
1919,58.0,Tectonic,Source: Napa 2014; Site: south - Other measurements in asphalt possible. Slip increased from 13 to 16 cm from Sunday to Monday along 340.,,RL,,,340,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.24175342,-122.3200456,Y,Pavement,38.24178696,-122.3200455,16*
1737,59.0,Tectonic,"Source: Napa 2014; Site: south - Measurement: 21 cm - Measurement azimuth: 320 - Feature azimuth: None - Displacement sense: RL. Compiler note: 21 cm and 320 degree azimuth comes from original spreadsheet provided by observers. Published measurement on 8/24 (Morelan and others, 2015) is 13 cm on trend 340. Notes from original spreadsheet say slip increased from 13 cm to 16 cm on 8/25 on trend 340.",,RL,,,340,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.2417805,-122.3200435,Y,Pavement,38.24177933,-122.3200607,13*
2156,60.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.2417805,-122.3200435,Y,Pavement,38.24177551,-122.3200302,
2127,61.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.24179958,-122.3200664,Y,Pavement,38.24179459,-122.3200531,
588,62.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.24179958,-122.3200664,Y,Pavement,38.24173737,-122.3201141,
2158,63.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:25,Dawson,,,,,,,,,,,,,,,,,,38.24182246,-122.3200816,Y,Pavement,38.24181747,-122.3200684,
679,64.0,Tectonic,Source: Napa 2014; South Avenue; view southward; Approx. 10 cm separation.,,,,,,,,10*,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Delattre,,,,,,,,,,,,,,,,,,38.24183323,-122.320109,Y,Pavement,38.24629974,-122.3188019,
2128,65.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Dawson/Davenport,,,,,,,,,,,,,,,,,,38.24196259,-122.3201767,Y,Soil,38.24195862,-122.3201599,
538,66.0,Tectonic,Source: Napa 2014; Los Carneros Ave. by school.,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:09:01,Zaccone,,,,,,,,,,,,,,,,,,38.24303154,-122.3207713,Y,Pavement,38.24295044,-122.3207474,
1797,67.0,Tectonic,Source: Napa 2014; nan,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,2014:08:24,Morelan/Trexler,,,,,,,,,,,,,,,,,"Morelan, A., Trexler, C., and Oskin, M., 2015, Surface-Rupture and Slip Observations on the Day of the 24 August 2014 South Napa Earthquake: Seismological Research Letters, v. 86, no. 4, p. 1119-1127; supplemental materials are also available online at: https://ucdavis.app.box.com/s/9zsz84638fp90grhikzx",38.24314616,-122.3208369,Y,Pavement,38.24314117,-122.3208237,
